source svr - user1,dest svr - user1,proportion migration,Mbps - user1,mig path - user1,source svr - user2,dest svr - user2,proportion migration,Mbps - user2,mig path - user2,source svr - user3,dest svr - user3,proportion migration,Mbps - user3,mig path - user3,source svr - user4,dest svr - user4,proportion migration,Mbps - user4,mig path - user4,source svr - user5,dest svr - user5,proportion migration,Mbps - user5,mig path - user5,source svr - user6,dest svr - user6,proportion migration,Mbps - user6,mig path - user6,source svr - user7,dest svr - user7,proportion migration,Mbps - user7,mig path - user7,source svr - user8,dest svr - user8,proportion migration,Mbps - user8,mig path - user8,source svr - user9,dest svr - user9,proportion migration,Mbps - user9,mig path - user9,source svr - user10,dest svr - user10,proportion migration,Mbps - user10,mig path - user10,source svr - user11,dest svr - user11,proportion migration,Mbps - user11,mig path - user11,source svr - user12,dest svr - user12,proportion migration,Mbps - user12,mig path - user12,source svr - user13,dest svr - user13,proportion migration,Mbps - user13,mig path - user13,source svr - user14,dest svr - user14,proportion migration,Mbps - user14,mig path - user14,source svr - user15,dest svr - user15,proportion migration,Mbps - user15,mig path - user15,source svr - user16,dest svr - user16,proportion migration,Mbps - user16,mig path - user16,source svr - user17,dest svr - user17,proportion migration,Mbps - user17,mig path - user17,source svr - user18,dest svr - user18,proportion migration,Mbps - user18,mig path - user18,source svr - user19,dest svr - user19,proportion migration,Mbps - user19,mig path - user19,source svr - user20,dest svr - user20,proportion migration,Mbps - user20,mig path - user20
3,3,0,0.0,0,7,7,0,0.0,0,4,4,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,4,4,0,0.0,0,5,5,0,0.0,0,7,7,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,1,1,0,0.0,0,8,8,0,0.0,0,3,3,0,0.0,0,7,7,0,0.0,0,8,8,0,0.0,0,5,5,0,0.0,0,1,1,0,0.0,0,0,0,0,0.0,0
3,4,1,1.5729173976218331,"(3, 4)",7,7,0,0.0,0,4,4,0,0.0,0,7,7,0,0.0,0,6,6,0,0.0,0,7,7,0,0.0,0,6,1,1,1.8683835097541293,"(6, 1)",4,4,0,0.0,0,5,4,1,2.1421885555386337,"(5, 4)",7,7,0,0.0,0,7,7,0,0.0,0,6,0,1,1.711304986093702,"(6, 0)",1,6,1,2.385262089563314,"(1, 6)",8,8,0,0.0,0,3,7,1,2.860791077236814,"(3, 4, 7)",7,7,0,0.0,0,8,2,1,1.9705495423095227,"(8, 2)",5,5,0,0.0,0,1,1,0,0.0,0,0,8,1,2.0569923311798632,"(0, 6, 7, 8)"
4,3,1,1.5729173976218331,"(4, 3)",7,7,0,0.0,0,4,4,0,0.0,0,7,7,0,0.0,0,6,8,1,1.4575291178333054,"(6, 7, 8)",7,7,0,0.0,0,1,1,0,0.0,0,4,4,0,0.0,0,4,4,0,0.0,0,7,7,0,0.0,0,7,5,1,2.2375222225240177,"(7, 5)",0,1,1,1.711304986093702,"(0, 6, 1)",6,7,1,2.385262089563314,"(6, 7)",8,8,0,0.0,0,7,7,0,0.0,0,7,7,0,0.0,0,2,2,0,0.0,0,5,5,0,0.0,0,1,5,1,2.0058652026305146,"(1, 6, 7, 5)",8,8,0,0.0,0
3,7,1,1.5729173976218331,"(3, 4, 7)",7,3,1,1.315632132234875,"(7, 3)",4,3,1,2.1458174614132393,"(4, 3)",7,3,1,2.1136130752680424,"(7, 3)",8,8,0,0.0,0,7,7,0,0.0,0,1,1,0,0.0,0,4,4,0,0.0,0,4,4,0,0.0,0,7,7,0,0.0,0,5,5,0,0.0,0,1,1,0,0.0,0,7,1,1,2.385262089563314,"(7, 6, 1)",8,8,0,0.0,0,7,7,0,0.0,0,7,7,0,0.0,0,2,2,0,0.0,0,5,5,0,0.0,0,5,5,0,0.0,0,8,8,0,0.0,0
7,2,1,1.5729173976218331,"(7, 6, 8, 2)",3,7,1,1.315632132234875,"(3, 4, 7)",3,3,0,0.0,0,3,7,1,2.1136130752680424,"(3, 4, 7)",8,1,1,1.4575291178333054,"(8, 6, 1)",7,3,1,1.8586593676971424,"(7, 3)",1,1,0,0.0,0,4,4,0,0.0,0,4,4,0,0.0,0,7,4,1,2.96613464919964,"(7, 4)",5,5,0,0.0,0,1,1,0,0.0,0,1,6,1,2.385262089563314,"(1, 6)",8,8,0,0.0,0,7,7,0,0.0,0,7,7,0,0.0,0,2,2,0,0.0,0,5,5,0,0.0,0,5,2,1,2.0058652026305146,"(5, 4, 7, 6, 8, 2)",8,2,1,2.0569923311798632,"(8, 2)"
2,6,1,1.5729173976218331,"(2, 8, 6)",7,7,0,0.0,0,3,3,0,0.0,0,7,7,0,0.0,0,1,1,0,0.0,0,3,5,1,1.8586593676971424,"(3, 4, 7, 5)",1,1,0,0.0,0,4,4,0,0.0,0,4,4,0,0.0,0,4,4,0,0.0,0,5,5,0,0.0,0,1,1,0,0.0,0,6,7,1,2.385262089563314,"(6, 7)",8,0,1,1.8820773826201882,"(8, 6, 0)",7,7,0,0.0,0,7,7,0,0.0,0,2,2,0,0.0,0,5,5,0,0.0,0,2,2,0,0.0,0,2,2,0,0.0,0
6,8,1,1.5729173976218331,"(6, 7, 8)",7,7,0,0.0,0,3,3,0,0.0,0,7,7,0,0.0,0,1,6,1,1.4575291178333054,"(1, 6)",5,7,1,1.8586593676971424,"(5, 4, 7)",1,7,1,1.8683835097541293,"(1, 6, 7)",4,4,0,0.0,0,4,4,0,0.0,0,4,4,0,0.0,0,5,5,0,0.0,0,1,6,1,1.711304986093702,"(1, 6)",7,1,1,2.385262089563314,"(7, 6, 1)",0,2,1,1.8820773826201882,"(0, 6, 7, 8, 2)",7,3,1,2.860791077236814,"(7, 3)",7,7,0,0.0,0,2,2,0,0.0,0,5,6,1,1.2197527575570695,"(5, 4, 7, 6)",2,2,0,0.0,0,2,8,1,2.0569923311798632,"(2, 8)"
8,2,1,1.5729173976218331,"(8, 2)",7,7,0,0.0,0,3,3,0,0.0,0,7,7,0,0.0,0,6,3,1,1.4575291178333054,"(6, 7, 3)",7,7,0,0.0,0,7,1,1,1.8683835097541293,"(7, 6, 1)",4,7,1,2.638162096111988,"(4, 3, 7)",4,4,0,0.0,0,4,4,0,0.0,0,5,5,0,0.0,0,6,6,0,0.0,0,1,1,0,0.0,0,2,2,0,0.0,0,3,3,0,0.0,0,7,7,0,0.0,0,2,2,0,0.0,0,6,6,0,0.0,0,2,2,0,0.0,0,8,2,1,2.0569923311798632,"(8, 2)"
2,8,1,1.5729173976218331,"(2, 8)",7,5,1,1.315632132234875,"(7, 5)",3,4,1,2.1458174614132393,"(3, 4)",7,7,0,0.0,0,3,3,0,0.0,0,7,2,1,1.8586593676971424,"(7, 6, 8, 2)",1,1,0,0.0,0,7,7,0,0.0,0,4,4,0,0.0,0,4,4,0,0.0,0,5,5,0,0.0,0,6,6,0,0.0,0,1,6,1,2.385262089563314,"(1, 6)",2,2,0,0.0,0,3,8,1,2.860791077236814,"(3, 4, 7, 6, 8)",7,7,0,0.0,0,2,2,0,0.0,0,6,0,1,1.2197527575570695,"(6, 0)",2,2,0,0.0,0,2,3,1,2.0569923311798632,"(2, 8, 6, 7, 3)"
8,8,0,0.0,0,5,5,0,0.0,0,4,4,0,0.0,0,7,7,0,0.0,0,3,3,0,0.0,0,2,2,0,0.0,0,1,1,0,0.0,0,7,7,0,0.0,0,4,4,0,0.0,0,4,4,0,0.0,0,5,5,0,0.0,0,6,6,0,0.0,0,6,6,0,0.0,0,2,2,0,0.0,0,8,8,0,0.0,0,7,7,0,0.0,0,2,2,0,0.0,0,0,0,0,0.0,0,2,2,0,0.0,0,3,3,0,0.0,0
